instructions,LLC-stores,L1-icache-load-misses,branch-load-misses,node-load-misses,rd_req,rd_bytes,wr_req,wr_bytes,flush_operations,rd_total_times,wr_total_times,flush_total_times,label
15833106,23178,93615,34552,0,63,258048,3,262144,0,4540519,415967,0,1
13052824,20311,599688,76145,0,60,245760,0,0,0,4359285,0,0,1
40103322,14918,300959,49483,0,76,311296,0,0,0,6396183,0,0,1
13632200,19384,408571,44386,4,80,327680,0,0,0,5490124,0,0,1
32138214,26464,606797,59101,2,69,282624,0,0,0,4710440,0,0,1
36417173,28652,527574,34255,3,59,241664,0,0,0,4050052,0,0,1
62609074,27535,323274,29035,0,58,237568,0,0,0,3704351,0,0,1
54709446,17575,55868,33957,0,62,253952,0,0,0,3635842,0,0,1
56568844,13861,4629,65122,0,55,225280,0,0,0,4264478,0,0,1
34516987,43559,115444,52495,0,74,303104,0,0,0,5322004,0,0,1
15794838,12972,440063,50787,0,73,299008,0,0,0,4841837,0,0,1
33717358,31778,318889,148557,1,70,286720,0,0,0,5553418,0,0,1
24545803,18792,524501,76414,0,67,274432,0,0,0,5558996,0,0,1
56657630,21362,261854,104015,1,70,286720,0,0,0,5124956,0,0,1
57554333,28114,594739,108484,3,58,237568,0,0,0,5172226,0,0,1
83499335,29883,977373,83428,0,57,233472,0,0,0,4221658,0,0,1
37886696,23687,282005,88469,5,58,237568,9,765952,0,4602981,2356945,0,1
40673276,24353,327667,47963,0,2,8192,149,1576960,1,128709,79686987,2638246,1
52983875,19301,410562,54495,33,0,0,239,1384448,0,0,91702917,0,1
53723998,18655,505762,22168,6,0,0,267,1552384,0,0,51507477,0,1
18680568,40714,771599,34633,27,0,0,283,1888256,0,0,11261980,0,1
41460210,13720,580841,16500,18,8,32768,72,352256,0,18742209,12643114,0,1
16207475,41459,484709,55725,28,11,45056,112,548864,0,3961256,9020657,0,1
1875185,39363,337341,48645,9,8,32768,123,2461696,0,576666,9294685,0,1
36041507,26623,545427,44849,4,33,135168,118,9175040,0,1463166,19359100,0,1
43985212,31113,680540,16481,6,4,16384,14,327680,0,164902,696511,0,1
70765787,25694,344158,37699,5,24,98304,50,647168,0,69585909,41346849,0,1
44312162,29473,397026,66376,2,29,118784,53,368640,0,23250789,18445266,0,1
34586479,21993,563921,130397,7,28,114688,104,1327104,1,1375900,6046589,4493987,1
44759059,6242,406093,170079,11,0,0,139,671744,0,0,8624645,0,1
60469274,908,723559,156941,16,0,0,96,421888,0,0,12806507,0,1
47491261,6476,541870,213279,4,0,0,81,376832,0,0,15120123,0,1
28532505,10394,784427,179049,13,0,0,53,745472,0,0,28718883,0,1
47796282,22442,742544,129124,10,0,0,81,7385088,0,0,172933972,0,1
57131293,23533,616347,62123,12,20,81920,1,4096,1,1376972,128757,18593779,1
70451268,25881,842694,94410,5,62,253952,0,0,0,4846994,0,0,1
40366465,19237,709552,117477,1,62,253952,0,0,0,5337971,0,0,1
34393550,20515,591325,114525,23,55,225280,0,0,0,4528268,0,0,1
67671468,37544,468657,125047,5,65,266240,0,0,0,4652786,0,0,1
61819175,12410,204260,91971,14,12,49152,40,3166208,0,4921076,135631415,0,1
27140985,22670,604552,85792,21,4,16384,33,2826752,0,54674230,402925870,0,1
46957021,23523,508945,94872,5,11,45056,32,3305472,0,46376264,515101297,0,1
55745424,18633,232193,65086,0,12,49152,33,3273728,0,41596229,425664593,0,1
27268259,14616,1126752,54373,1,8,32768,19,1634304,0,41852963,163546815,0,1
56414237,35205,839805,114291,2,8,32768,47,5180416,0,32461148,505233512,0,1
7448053,7805,753538,101157,4,4,16384,59,6127616,0,19611869,682151588,0,1
17751866,20287,568046,72786,7,17,69632,85,3339776,0,38621075,223406722,0,1
53924381,15359,625638,32093,12,6,24576,20,2050560,0,32304202,306019000,0,1
56404235,22234,174050,51728,9,10,40960,40,3959808,0,41068868,298948676,0,1
41278571,19420,377041,104350,29,24,98304,20,1710592,0,30772804,164267764,0,1
29854325,30768,316975,133423,3,63,258048,0,0,0,4471898,0,0,1
44895330,20832,638687,59153,9,72,294912,0,0,0,4837081,0,0,1
33567331,25820,554794,76347,4,43,176128,0,0,0,3609329,0,0,1
48795560,31342,163039,95965,4,59,241664,0,0,0,4647363,0,0,1
27373774,29462,585940,58637,1,64,262144,0,0,0,5375175,0,0,1
55139215,17321,800078,95851,14,65,266240,0,0,0,4906915,0,0,1
61315320,31086,606179,130729,3,63,258048,0,0,0,4294919,0,0,1
23091166,28367,258631,105590,32,62,253952,0,0,0,5264222,0,0,1
26277043,23815,595006,102772,4,72,294912,0,0,0,5649153,0,0,1
29922405,23986,538599,35619,3,65,266240,0,0,0,5594352,0,0,1
25108186,26578,750765,39414,4,62,253952,0,0,0,5085708,0,0,1
62852005,25214,717395,72949,0,66,270336,0,0,0,4739569,0,0,1
32440124,18971,530862,97488,0,71,290816,0,0,0,5904829,0,0,1
27800223,16356,393521,119116,3,68,278528,0,0,0,6339099,0,0,1
67774843,25707,598946,86979,0,65,266240,3,217088,0,6875500,451974,0,1
25920148,21226,754774,21680,0,73,299008,0,0,0,5969310,0,0,1
14164294,31272,542783,165974,0,51,208896,0,0,0,4252452,0,0,1
58919228,31727,213448,160157,1,82,335872,0,0,0,6417743,0,0,1
9271687,25684,489070,136688,1,81,331776,0,0,0,5682828,0,0,1
34390114,27258,836414,147274,5,67,274432,0,0,0,5844487,0,0,1
23313768,23785,434773,163900,0,64,262144,0,0,0,5770903,0,0,1
13619154,25524,430644,177436,3,78,319488,0,0,0,5685996,0,0,1
95075570,40644,44855,161455,0,67,274432,0,0,0,5118475,0,0,1
41803077,28018,344862,110278,0,66,270336,0,0,0,5093703,0,0,1
37127153,18404,507024,109958,0,61,249856,0,0,0,4939526,0,0,1
44206294,31968,531856,102760,0,80,327680,0,0,0,6609355,0,0,1
35365715,20419,123211,95047,0,75,307200,0,0,0,6794522,0,0,1
32161076,25017,10364,45780,1,70,286720,0,0,0,5494035,0,0,1
71471078,33119,480837,91951,2,71,290816,0,0,0,5994954,0,0,1
